,UID,SUMLEVEL,COUNTYID,STATEID,state,state_ab,city,place,type,primary,zip_code,area_code,lat,lng,ALand,AWater,pop,male_pop,female_pop,rent_mean,rent_median,rent_stdev,rent_sample_weight,rent_samples,rent_gt_10,rent_gt_15,rent_gt_20,rent_gt_25,rent_gt_30,rent_gt_35,rent_gt_40,rent_gt_50,universe_samples,used_samples,hi_mean,hi_median,hi_stdev,hi_sample_weight,hi_samples,family_mean,family_median,family_stdev,family_sample_weight,family_samples,hc_mortgage_mean,hc_mortgage_median,hc_mortgage_stdev,hc_mortgage_sample_weight,hc_mortgage_samples,hc_mean,hc_median,hc_stdev,hc_samples,hc_sample_weight,home_equity_second_mortgage,second_mortgage,home_equity,debt,second_mortgage_cdf,home_equity_cdf,debt_cdf,hs_degree,hs_degree_male,hs_degree_female,male_age_mean,male_age_median,male_age_stdev,male_age_sample_weight,male_age_samples,female_age_mean,female_age_median,female_age_stdev,female_age_sample_weight,female_age_samples,pct_own,married,married_snp,separated,divorced,data_type
14439,286569,140,309,48,Texas,TX,Waco,Bellmead City,Town,tract,76704,254,31.5920111,-97.1315553,13498675.0,478549,7899,3492,4407,656.68957,683.0,315.58912,1332.7077,1714.0,0.96299,0.78038,0.67242,0.59161,0.42751,0.3393,0.29241,0.17952,2010,1621,32286.49453,22900.0,31993.94307,2473.38289,3055.0,39453.47252,31514.0,35669.00897,1445.6102,1953.0,994.58375,780.0,569.95182,281.84028,387.0,397.31328,347.0,211.54094,658.0,525.10737,0.0,0.0,0.05646,0.37033,1.0,0.64507,0.91251,0.76504,0.76788,0.76316,32.23894,25.91667,23.37982,910.96296,3492.0,38.42396,36.91667,24.12811,1213.78041,4407.0,0.30723,0.37358,0.06458,0.03588,0.11355,Train
14457,278930,140,7,72,Puerto Rico,PR,Aguas Buenas,Aguas Buenas,Urban,tract,703,787,18.2690202,-66.0865279,13139864.0,5907,4583,2276,2307,414.82271,388.0,175.034,299.0,299.0,1.0,0.88696,0.8087,0.4913,0.3913,0.24783,0.24783,0.16957,554,230,21541.55855,13678.0,24617.71258,1089.8917,1348.0,26283.40126,18464.0,27533.51624,742.25799,1004.0,1339.67485,902.0,882.05796,128.63631,190.0,138.6109,132.0,65.47073,604.0,515.26,0.0,0.0,0.0,0.23929,1.0,1.0,0.96851,0.72295,0.67556,0.76597,36.39469,35.16667,21.81597,586.94675,2276.0,37.50765,36.0,22.16204,553.83433,2307.0,0.62283,0.36268,0.03765,0.00886,0.09745,Train
14465,254965,140,145,26,Michigan,MI,Saginaw,Zilwaukee City,CDP,tract,48604,989,43.479556,-83.9002667,28349892.0,7374996,2681,1311,1370,785.47055,759.0,276.55581,159.33878,221.0,0.95122,0.7561,0.73171,0.60976,0.5122,0.45366,0.36585,0.20488,257,205,47158.74424,40456.0,34992.22786,766.18355,1071.0,55784.6211,49931.0,37860.56615,397.25044,643.0,1008.41567,952.0,369.3696,291.19774,411.0,405.99659,382.0,174.11008,403.0,309.56566,0.0,0.0,0.04668,0.50491,1.0,0.69044,0.77193,0.88648,0.9103,0.86425,38.77153,38.25,22.96915,359.60516,1311.0,41.0319,40.41667,23.68653,395.71912,1370.0,0.72513,0.45188,0.00825,0.00825,0.10999,Train
14467,293996,140,55,54,West Virginia,WV,Bluefield,Bluefield City,City,tract,24701,304,37.2877768,-81.1824094,11674207.0,254856,1558,720,838,397.26768,352.0,182.29951,267.0,267.0,0.96947,0.94656,0.78244,0.74809,0.4771,0.38168,0.23664,0.15267,285,262,30442.82886,18538.0,27639.26673,570.11593,695.0,38228.42439,32191.0,28668.12784,337.86293,412.0,688.40063,690.0,128.68021,138.0,138.0,313.33117,291.0,131.76993,272.0,235.13131,0.0,0.0,0.0,0.33659,1.0,1.0,0.93215,0.81137,0.7526,0.86964,47.21995,51.0,21.06491,175.55354,720.0,43.32524,46.75,23.1126,214.11657,838.0,0.67878,0.49065,0.11526,0.06542,0.10903,Train
14470,222788,140,13,4,Arizona,AZ,Phoenix,Phoenix City,CDP,tract,85012,602,33.5053862,-112.0710658,1027484.0,9882,1957,1167,790,827.96479,779.0,280.0145,392.90566,564.0,0.98179,0.85428,0.68852,0.59016,0.40255,0.33151,0.26047,0.16576,586,549,57758.15342,46768.0,47286.67729,616.79683,932.0,67505.61458,51157.0,53458.18634,214.55853,357.0,1604.14093,1657.0,657.3939,109.25673,258.0,457.89917,440.0,163.97679,88.0,62.24242,0.0,0.0,0.0289,0.74566,1.0,0.76851,0.26333,0.88966,0.88596,0.89515,40.04034,42.25,18.55501,269.79082,1167.0,41.6411,41.16667,20.41933,171.39162,790.0,0.36661,0.24902,0.07941,0.00588,0.14608,Train
14473,287286,140,439,48,Texas,TX,Haltom City,Haltom City City,Town,tract,76117,817,32.8292769,-97.2627833,3421979.0,36835,6446,3210,3236,765.77661,734.0,219.39093,1047.30278,1327.0,1.0,0.98847,0.90161,0.76787,0.54573,0.49654,0.45503,0.30438,1421,1301,49700.78729,35423.0,45452.2328,1954.83368,2738.0,64909.03531,44633.0,50247.5521,902.97023,1431.0,1287.17184,1202.0,378.93072,362.95806,802.0,441.73862,419.0,185.40921,515.0,370.55556,0.0,0.0,0.04935,0.60896,1.0,0.67806,0.58034,0.84052,0.86796,0.81424,37.67112,37.41667,22.05168,716.0538,3210.0,40.30879,41.16667,22.94536,719.95243,3236.0,0.51846,0.56019,0.0231,0.00527,0.10418,Train
14481,243321,140,31,17,Illinois,IL,Chicago Ridge,Chicago Ridge,Village,tract,60415,708,41.6960739,-87.7694862,2007867.0,0,5837,2956,2881,971.20524,945.0,184.36318,377.34648,768.0,1.0,0.93359,0.64844,0.47656,0.38411,0.35938,0.32422,0.19792,790,768,71386.68225,58657.0,52914.04262,1238.13361,2145.0,74520.11341,62422.0,49148.79519,813.23069,1512.0,1702.30867,1624.0,652.35645,360.09424,969.0,561.33677,569.0,140.28078,386.0,219.33333,0.0,0.0,0.08561,0.71513,1.0,0.50744,0.33216,0.92743,0.90977,0.94491,35.4739,35.5,21.08087,661.48235,2956.0,38.19833,36.75,21.23944,692.03854,2881.0,0.66591,0.47025,0.00787,0.00787,0.10149,Train
14498,241417,140,117,19,Iowa,IA,Chariton,Chariton City,City,tract,50049,641,41.0213338,-93.2845034,15633232.0,127863,2400,1140,1260,865.92034,696.0,851.0791,266.26465,340.0,0.93958,0.77341,0.60725,0.60725,0.4864,0.43505,0.34139,0.26586,385,331,43108.08619,34233.0,31253.0465,764.8006,1086.0,57179.05414,57637.0,32165.22745,350.68232,594.0,850.30852,760.0,396.42042,352.39605,411.0,373.12284,365.0,145.64286,290.0,231.41414,0.0,0.0,0.03566,0.58631,1.0,0.73987,0.62805,0.88608,0.85262,0.91603,44.53236,45.08333,24.08202,288.9777,1140.0,47.04325,51.16667,25.0806,308.40367,1260.0,0.7234,0.51316,0.02632,0.0,0.11943,Train
14386,248651,140,3,22,Louisiana,LA,Oakdale,Oakdale City,City,tract,71463,318,30.8215197,-92.6764225,9204867.0,101109,2632,1191,1441,409.34837,370.0,220.86335,394.20774,415.0,0.93735,0.93735,0.87952,0.81446,0.48193,0.21205,0.2,0.11807,510,415,41077.63652,22488.0,49882.76028,1014.67092,1232.0,55130.13024,38683.0,46730.72363,434.69152,587.0,752.9554,742.0,244.61198,229.87952,260.0,262.71595,230.0,130.3486,462.0,425.08677,0.0,0.0,0.03047,0.36011,1.0,0.76214,0.91875,0.76872,0.75884,0.77541,41.76194,46.25,23.66774,325.00438,1191.0,50.16942,52.5,23.37882,337.96541,1441.0,0.61587,0.44008,0.05942,0.04632,0.16314,Train
14365,252889,140,19,23,Maine,ME,Bangor,Bangor City,City,tract,4401,207,44.8048258,-68.8264845,17553742.0,234868,2651,1333,1318,918.09911,812.0,441.62074,250.51058,383.0,0.94517,0.86162,0.73107,0.58225,0.5248,0.5248,0.4047,0.36292,387,383,71003.24168,59490.0,52777.08058,640.67694,1153.0,91573.23564,82449.0,47573.952,216.88395,561.0,1392.76938,1355.0,573.08767,282.6367,592.0,628.72773,648.0,214.5137,174.0,99.25253,0.0,0.0,0.12794,0.77285,1.0,0.32278,0.20651,0.94057,0.92426,0.95562,41.26089,40.0,21.87473,293.0398,1333.0,45.31067,46.58333,21.43944,318.19131,1318.0,0.73941,0.52338,0.09802,0.01709,0.16906,Train
14359,267261,140,47,36,New York,NY,Brooklyn,New York City,City,tract,11206,718,40.6994266,-73.9420913,83218.0,0,293,205,88,2177.83282,1899.0,1026.09079,10.69606,66.0,1.0,0.72727,0.66667,0.34848,0.22727,0.22727,0.22727,0.22727,66,66,104758.0859,83284.0,79711.11101,34.37421,87.0,71707.05581,85489.0,34059.22003,18.39898,44.0,2593.94444,2622.0,285.23328,2.38076,12.0,1038.38889,1301.0,349.74417,9.0,4.45455,0.0,0.0,0.0,0.57143,1.0,1.0,0.6573,0.84211,0.85806,0.80822,37.56504,33.0,19.17745,44.56724,205.0,37.53408,34.83333,17.93211,18.80476,88.0,0.1236,0.18653,0.04663,0.0,0.02073,Train
14355,222995,140,13,4,Arizona,AZ,Scottsdale,Paradise Valley,CDP,tract,85251,480,33.4945112,-111.9253321,2060257.0,12183,1454,733,721,1398.11167,1308.0,599.44156,215.88571,704.0,0.94453,0.79708,0.67153,0.52409,0.42044,0.36788,0.33285,0.28321,735,685,75142.4755,52898.0,69560.81777,470.51788,849.0,71095.12833,48134.0,70069.40609,114.69335,191.0,2228.89692,2270.0,636.13769,13.51822,52.0,864.46406,803.0,414.45217,62.0,28.64009,0.0,0.0,0.0,0.45614,1.0,1.0,0.8359,0.95652,0.95525,0.95789,34.46268,30.5,16.15386,177.45146,733.0,38.53787,30.0,19.9157,169.79007,721.0,0.11073,0.20588,0.07206,0.02353,0.10294,Train
14247,240389,140,245,13,Georgia,GA,Augusta,Martinez,City,tract,30909,706,33.5045127,-82.0416314,3221348.0,37861,2462,1165,1297,837.91944,799.0,229.12539,534.11262,762.0,0.84979,0.7274,0.63143,0.5605,0.5007,0.363,0.34353,0.24061,769,719,63973.33144,47116.0,58992.01904,721.98879,1171.0,77311.20651,62793.0,54451.13623,264.41455,544.0,1267.08484,1191.0,417.27078,126.35761,259.0,497.73633,443.0,223.61926,143.0,97.54545,0.0,0.0,0.21393,0.64428,1.0,0.09417,0.50127,0.98054,0.95534,1.0,33.69133,29.91667,22.25681,285.54333,1165.0,34.78011,29.0,20.62944,355.13145,1297.0,0.28432,0.30197,0.01161,0.0,0.21487,Train
14248,287833,140,459,48,Texas,TX,Ore City,Ore City City,Town,tract,75683,903,32.7953058,-94.7711229,357679161.0,9027007,8073,4137,3936,974.74192,1006.0,342.30668,201.25447,374.0,1.0,0.9385,0.82086,0.68182,0.64973,0.41711,0.22193,0.22193,516,374,58140.73317,48559.0,45997.61902,1844.17526,2976.0,67373.46708,58355.0,41880.85374,1257.84431,2236.0,1160.58378,1136.0,457.68346,570.56834,987.0,458.63224,422.0,233.03405,1473.0,1048.05949,0.0,0.0,0.0,0.40122,1.0,1.0,0.88957,0.83382,0.82127,0.84621,39.23183,42.16667,22.6607,1024.13825,4137.0,40.56252,43.08333,22.25491,973.70906,3936.0,0.8355,0.64069,0.02165,0.00433,0.08967,Train
14256,292771,140,63,55,Wisconsin,WI,La Crosse,La Crosse City,City,tract,54601,608,43.8229516,-91.2290401,3234055.0,0,4866,1741,3125,1009.6648,933.0,585.39649,350.92229,662.0,0.96104,0.9237,0.88474,0.83279,0.71266,0.65584,0.65584,0.56494,662,616,26689.66025,17958.0,28890.08901,648.09842,791.0,42029.47953,29753.0,35731.43381,82.95927,147.0,1402.43336,1219.0,493.90972,25.70447,56.0,453.39469,479.0,181.31509,73.0,51.78788,0.0,0.0,0.08527,0.43411,1.0,0.50893,0.85953,0.83964,0.78443,0.87234,22.9812,20.33333,10.85454,1061.45586,1741.0,23.30683,20.08333,12.50642,1952.57375,3125.0,0.13634,0.04014,0.00698,0.0,0.01454,Train
14261,234765,140,11,12,Florida,FL,Fort Lauderdale,Sea Ranch Lakes,City,tract,33334,754,26.1751904,-80.1015763,650496.0,69993,2228,1303,925,1103.46421,786.0,828.79639,176.494,266.0,0.92562,0.82645,0.82645,0.64876,0.61157,0.56612,0.56612,0.33884,266,242,73416.39575,50732.0,72063.03629,891.49809,1477.0,98908.97482,75243.0,63503.43564,169.18959,393.0,2317.86387,1753.0,1197.99364,76.7304,289.0,649.03401,670.0,368.73114,922.0,526.51814,0.0,0.0,0.03468,0.23865,1.0,0.74406,0.96867,0.97468,0.97341,0.97653,64.30886,69.25,18.50996,284.18126,1303.0,63.86129,65.33333,20.28133,199.7636,925.0,0.87074,0.36089,0.04293,0.0,0.14547,Train
14285,257765,140,95,29,Missouri,MO,Kansas City,Kansas City City,City,tract,64111,816,39.0639452,-94.5903511,1296571.0,0,3079,1894,1185,678.56115,683.0,235.85629,1430.42293,1661.0,0.97756,0.8587,0.71983,0.50455,0.32626,0.28684,0.22984,0.15949,1672,1649,42663.41654,33485.0,35082.00039,1482.22155,1942.0,67677.0308,60191.0,44332.66543,239.99036,427.0,1293.80035,1148.0,601.42972,78.15354,155.0,551.54173,485.0,273.28675,115.0,66.51515,0.0,0.0,0.04444,0.57407,1.0,0.70033,0.65255,0.91585,0.90745,0.93002,43.17665,42.08333,17.23953,469.65352,1894.0,40.36782,34.33333,18.77768,283.37062,1185.0,0.19961,0.18835,0.05498,0.02286,0.20795,Train
14288,265556,140,3,32,Nevada,NV,North Las Vegas,Sunrise Manor,City,tract,89030,702,36.2064306,-115.1265328,783557.0,0,3900,2024,1876,751.29471,749.0,258.39742,464.66009,636.0,0.98793,0.89138,0.85,0.69138,0.5931,0.51379,0.43793,0.2069,678,580,32561.64233,25982.0,27986.4848,760.6718,927.0,38555.54103,31023.0,29090.01715,524.42022,663.0,1123.2524,1109.0,478.65861,86.97675,148.0,284.95519,261.0,146.79159,101.0,77.19333,0.0,0.0,0.0,0.59438,1.0,1.0,0.61124,0.33372,0.26923,0.40408,27.39298,21.58333,18.57647,547.90261,2024.0,26.98903,22.5,20.26715,459.66664,1876.0,0.24691,0.45905,0.19384,0.06912,0.0571,Train
14291,242599,140,31,17,Illinois,IL,Chicago,Cicero,Village,tract,60624,773,41.8713379,-87.7320094,499036.0,0,2396,1098,1298,1033.1578,1013.0,342.69313,188.27957,428.0,0.96923,0.90769,0.80769,0.76923,0.62564,0.60256,0.59231,0.45897,448,390,44995.58905,29940.0,44670.19756,443.10657,644.0,46912.96724,32422.0,43203.34414,348.71584,532.0,1077.29825,1104.0,269.9192,78.1968,131.0,830.12894,693.0,334.0165,65.0,32.17172,0.0,0.0,0.02551,0.66837,1.0,0.78178,0.44373,0.69565,0.70504,0.68829,29.11248,26.25,21.26867,263.47446,1098.0,34.65498,30.0,23.04523,342.74158,1298.0,0.25042,0.28532,0.06233,0.03186,0.06787,Train
14293,258859,140,59,28,Mississippi,MS,Moss Point,Helena,CDP,tract,39563,228,30.4665582,-88.5218535,77888961.0,2626223,6100,3014,3086,705.92464,614.0,305.68392,396.0931,541.0,1.0,0.81644,0.76482,0.73423,0.73423,0.63098,0.47228,0.44933,651,523,46704.37844,36505.0,44387.41085,1759.8637,2476.0,53963.69164,42153.0,43078.04541,1148.39195,1707.0,1035.54774,939.0,440.25074,494.14009,700.0,355.96394,351.0,133.24839,1125.0,895.70707,0.0,0.0,0.01808,0.38356,1.0,0.80749,0.90318,0.80817,0.79593,0.82047,44.70894,47.16667,20.80843,743.94232,3014.0,45.08578,47.33333,23.30111,773.17262,3086.0,0.77,0.56187,0.07091,0.0644,0.11831,Train
14509,267876,140,55,36,New York,NY,Rochester,Brighton,City,tract,14611,585,43.1287398,-77.6386883,998516.0,45579,3011,1403,1608,1009.92446,967.0,346.60129,311.52376,599.0,1.0,0.95712,0.86278,0.85077,0.65695,0.5283,0.4837,0.41509,608,583,44637.11315,34497.0,41144.42486,900.86373,1208.0,54097.45821,36975.0,46915.80312,441.39018,636.0,1126.54356,943.0,829.71573,273.90042,354.0,373.17531,302.0,144.0792,246.0,196.0,0.0,0.0,0.11333,0.59,1.0,0.3824,0.62037,0.82587,0.82345,0.82762,31.79718,25.66667,19.94246,419.99895,1403.0,36.41454,36.91667,19.89291,404.12501,1608.0,0.43892,0.27022,0.08434,0.04561,0.0568,Train
14296,287227,140,439,48,Texas,TX,Fort Worth,Edgecliff Village,Town,tract,76110,817,32.6917621,-97.336037,1250924.0,0,4641,2589,2052,787.22391,734.0,236.53161,399.34051,543.0,0.97053,0.82505,0.82505,0.71087,0.55617,0.45488,0.39227,0.20994,573,543,36356.98975,28426.0,33317.176,1026.6658,1236.0,39806.16264,30413.0,33690.75688,738.95296,906.0,899.11284,883.0,240.71576,169.25301,206.0,363.82839,366.0,90.308,457.0,377.70707,0.0,0.0,0.0,0.31071,1.0,1.0,0.94479,0.42553,0.43573,0.41365,28.3679,27.16667,18.93405,623.40821,2589.0,32.08333,29.33333,19.62738,550.90963,2052.0,0.51864,0.48378,0.02781,0.00521,0.03302,Train
14308,257499,140,77,29,Missouri,MO,Springfield,Springfield City,City,tract,65806,417,37.2013805,-93.2976977,1113107.0,0,3626,1816,1810,543.43299,567.0,256.27462,1485.91304,1589.0,0.97213,0.89847,0.81354,0.70737,0.54413,0.49635,0.44459,0.32648,1608,1507,23974.04309,13950.0,27438.0877,1485.83749,1864.0,34048.01861,28292.0,33792.17532,360.55192,472.0,624.9472,636.0,123.16555,190.0,190.0,329.13784,336.0,55.22986,66.0,66.0,0.0,0.0,0.03125,0.74219,1.0,0.7586,0.27086,0.84322,0.76308,0.9202,32.16511,26.5,18.20415,581.011,1816.0,34.57116,27.66667,20.1302,606.33146,1810.0,0.13972,0.122,0.0292,0.00584,0.16807,Train
14309,241488,140,145,19,Iowa,IA,Clarinda,Clarinda City,City,tract,51632,712,40.725601,-95.0561582,19568118.0,85563,2437,1188,1249,503.09008,395.0,363.04823,307.54813,335.0,0.91343,0.85672,0.61194,0.45672,0.26269,0.12239,0.09851,0.09851,335,335,55112.00249,39495.0,44142.19161,725.17025,1101.0,69801.48623,64279.0,44597.39437,344.14869,635.0,1017.39963,880.0,591.44476,306.35973,404.0,363.57599,335.0,136.05702,362.0,316.0404,0.0,0.0,0.03394,0.52742,1.0,0.74723,0.73684,0.89491,0.93639,0.86415,41.28088,43.83333,24.08946,298.47819,1188.0,51.80924,53.5,24.64381,267.10907,1249.0,0.74684,0.54256,0.04718,0.02462,0.05026,Train
14311,260634,140,107,37,North Carolina,NC,Kinston,Kinston City,Village,tract,28504,252,35.2647871,-77.5945171,3342346.0,163744,2254,1169,1085,623.3717,650.0,281.57486,698.07707,818.0,0.94743,0.90954,0.82274,0.69682,0.47311,0.39853,0.38386,0.23227,825,818,30527.75522,23295.0,28214.44081,857.11638,1059.0,43817.07291,32383.0,37308.62777,252.78756,397.0,990.37913,789.0,529.88586,86.52853,106.0,496.98856,492.0,198.35266,128.0,91.63636,0.0,0.0,0.0,0.45299,1.0,1.0,0.83941,0.69397,0.64813,0.73696,38.74727,35.91667,22.45791,264.89952,1169.0,48.46612,52.5,23.61024,246.60352,1085.0,0.23602,0.34899,0.08645,0.05016,0.1206,Train
14324,247420,140,179,20,Kansas,KS,Hoxie,Park City,City,tract,67740,785,39.2419745,-100.3058021,2256053325.0,647342,1184,628,556,517.57193,551.0,264.59257,55.18072,60.0,0.75,0.48333,0.48333,0.38333,0.06667,0.06667,0.06667,0.06667,77,60,66348.40279,48727.0,59022.40679,301.63685,498.0,69842.75758,62490.0,47420.48936,176.92569,322.0,1021.34243,1046.0,407.18117,81.837,129.0,546.66226,517.0,239.92007,292.0,184.91444,0.0,0.0,0.0095,0.30641,1.0,0.82784,0.94678,0.95924,0.93447,0.9866,39.03697,40.75,23.41265,154.30975,628.0,41.55603,45.66667,24.12867,117.3791,556.0,0.82855,0.62887,0.00619,0.00412,0.1134,Train
14332,267481,140,47,36,New York,NY,Brooklyn,New York City,City,tract,11206,718,40.7007289,-73.9541699,161778.0,0,8924,4582,4342,1709.53632,1675.0,656.79564,260.31656,1199.0,0.98082,0.94579,0.9141,0.83987,0.79233,0.7548,0.68474,0.6447,1284,1199,53226.69745,32040.0,62083.73425,1216.14167,1663.0,51360.55859,31958.0,57470.23669,1083.84408,1455.0,2676.15338,2689.0,805.2834,62.73262,291.0,713.87351,584.0,293.93533,88.0,43.55556,0.0,0.0,0.21372,0.76781,1.0,0.09446,0.2168,0.81559,0.80176,0.82972,18.85363,13.5,15.92191,1041.80377,4582.0,19.00213,13.25,16.15753,923.7833,4342.0,0.2519,0.68912,0.00649,0.00399,0.02246,Train
14339,228327,140,61,6,California,CA,Roseville,Citrus Heights City,City,tract,95661,916,38.738664,-121.2625063,1762106.0,0,3830,1867,1963,1380.34298,1155.0,684.6306,191.72993,619.0,1.0,0.95861,0.83278,0.72517,0.69868,0.62252,0.56457,0.36424,631,604,70257.33918,50048.0,65119.6098,864.98307,1432.0,80598.8952,55283.0,63587.54623,563.74393,997.0,1822.4797,1762.0,709.70097,195.68472,572.0,391.15395,396.0,107.46968,229.0,171.92929,0.0,0.0,0.04245,0.71411,1.0,0.70967,0.33489,0.90441,0.93205,0.88052,37.3677,37.5,23.58511,392.65818,1867.0,45.10932,46.08333,23.79541,484.3698,1963.0,0.57889,0.57327,0.01287,0.00429,0.07791,Train
14345,288920,140,27,51,Virginia,VA,Hurley,Grundy,Town,tract,24620,276,37.3511004,-82.0239553,233473785.0,421756,4807,2058,2749,716.71739,671.0,254.021,222.5547,296.0,0.98305,0.7661,0.68814,0.62373,0.62373,0.6,0.5322,0.38983,380,295,43311.79479,20706.0,43393.93353,1325.36021,1923.0,46988.09418,30497.0,41942.02926,884.89318,1360.0,922.94225,788.0,485.09127,361.42502,470.0,319.58084,297.0,127.66648,1073.0,967.44444,0.0,0.0,0.04796,0.3046,1.0,0.68439,0.94741,0.76875,0.72035,0.80448,41.13788,42.41667,21.34134,550.73894,2058.0,41.81206,42.66667,22.48754,643.84782,2749.0,0.77055,0.58936,0.05842,0.04396,0.11799,Train
14353,227171,140,37,6,California,CA,Los Angeles,West Hollywood City,City,tract,90046,323,34.0924899,-118.365303,698992.0,0,6785,3537,3248,1570.57531,1455.0,684.89144,930.92292,3869.0,0.92542,0.86128,0.75776,0.67327,0.53611,0.46154,0.34811,0.29518,3911,3835,79678.16301,51193.0,83679.76025,2406.20815,4329.0,85111.41228,63946.0,72259.40994,367.58137,760.0,2592.30446,2219.0,1052.62817,53.66699,288.0,975.65385,874.0,189.42038,130.0,64.34343,0.0,0.0,0.38995,0.689,1.0,0.00751,0.39485,0.96815,0.96786,0.9685,44.47863,42.91667,15.38225,743.54185,3537.0,40.29503,33.75,18.79993,689.54427,3248.0,0.1274,0.1866,0.02177,0.01272,0.05683,Train
14298,242509,140,31,17,Illinois,IL,Chicago,Oak Park,Village,tract,60647,773,41.9261554,-87.7215651,266386.0,0,3406,1768,1638,967.27236,898.0,298.62084,386.3289,758.0,0.96174,0.8496,0.6372,0.60422,0.36675,0.3285,0.28892,0.21504,784,758,63659.78406,55113.0,48440.56106,637.96302,1106.0,56789.26198,49712.0,39206.5507,452.11381,727.0,1909.44291,1903.0,551.36819,75.91156,287.0,666.21842,791.0,220.51541,35.0,22.87879,0.0,0.0,0.0,0.8913,1.0,1.0,0.04691,0.79764,0.7579,0.84554,32.04238,31.33333,16.6386,422.31533,1768.0,31.77355,31.5,21.67137,337.08337,1638.0,0.29921,0.29683,0.05785,0.00069,0.05096,Train
14512,228692,140,65,6,California,CA,Beaumont,Calimesa City,City,tract,92223,951,33.9594849,-117.028878,1662771.0,0,961,387,574,896.48896,884.0,63.8214,11.38384,23.0,1.0,1.0,1.0,1.0,0.69565,0.0,0.0,0.0,29,23,47669.59978,37617.0,31373.92564,417.38934,559.0,58596.46228,52917.0,32654.27264,187.52694,298.0,1272.26405,1049.0,877.59383,56.60627,87.0,727.16051,833.0,318.75755,443.0,274.78848,0.0,0.0,0.0,0.16415,1.0,1.0,0.98256,0.91253,0.85511,0.94774,63.83487,68.41667,20.23782,116.71714,387.0,69.50894,67.66667,11.55203,142.86259,574.0,0.91259,0.71576,0.02326,0.0,0.04651,Train
14514,220582,140,15,1,Alabama,AL,Anniston,West End-cobb Town,Town,tract,36201,256,33.6626416,-85.8451905,2348362.0,0,1517,549,968,494.70233,511.0,261.08215,249.33374,264.0,1.0,0.94208,0.84556,0.84556,0.65637,0.57529,0.51351,0.36293,350,259,26284.30603,15197.0,28210.00393,534.96844,671.0,30456.42385,19346.0,23856.79867,226.15933,291.0,769.10895,768.0,311.66494,82.37349,89.0,267.1771,255.0,136.0838,232.0,206.24242,0.0,0.0,0.01869,0.27726,1.0,0.80562,0.95761,0.68421,0.66033,0.69984,42.85309,42.58333,22.00645,118.01015,549.0,41.30998,39.33333,26.35698,214.13722,968.0,0.43968,0.3312,0.1047,0.04915,0.11752,Train
14516,286029,140,213,48,Texas,TX,Malakoff,Malakoff City,Town,tract,75148,903,32.1477662,-95.9543503,200969285.0,9411777,3503,1704,1799,599.19708,584.0,227.28714,186.79798,207.0,0.96098,0.81463,0.7561,0.73659,0.60488,0.4878,0.41463,0.22439,275,205,57753.79719,44745.0,48254.09488,962.98981,1474.0,73220.23935,62490.0,47899.50831,527.24467,959.0,1203.64929,1151.0,467.4916,258.23075,479.0,443.93658,430.0,226.05099,720.0,509.36919,0.0,0.0,0.0,0.3995,1.0,1.0,0.89107,0.84413,0.85263,0.8356,47.06341,52.58333,22.72554,408.20738,1704.0,46.87632,50.66667,23.85167,445.71827,1799.0,0.86897,0.5468,0.02088,0.01481,0.18316,Train
14646,281793,140,49,47,Tennessee,TN,Jamestown,Jamestown City,City,tract,38556,931,36.4439037,-84.9065298,543748447.0,563811,3052,1541,1511,460.84517,401.0,219.72131,141.96787,150.0,1.0,0.84,0.38667,0.27333,0.27333,0.27333,0.22667,0.22667,243,150,44127.39558,37405.0,37371.7039,974.27956,1317.0,50281.53798,41275.0,36973.11898,674.38288,936.0,872.16473,757.0,364.14189,400.44588,501.0,328.46131,328.0,133.97306,573.0,508.35354,0.0,0.0,0.05587,0.46648,1.0,0.64784,0.82366,0.81753,0.75493,0.87394,42.94479,44.33333,22.4622,412.05862,1541.0,46.62621,50.0,20.73075,406.78917,1511.0,0.82471,0.52199,0.02199,0.01613,0.13563,Train
14652,238583,140,127,12,Florida,FL,Port Orange,Daytona Beach Shores City,City,tract,32127,386,29.1403038,-80.9813523,2829106.0,2815671,2412,1209,1203,771.29046,726.0,247.77354,423.23701,537.0,0.97765,0.92924,0.87337,0.66294,0.53073,0.46927,0.44879,0.24953,545,537,44777.40742,30704.0,49195.23761,1004.29047,1203.0,47416.09008,31654.0,48789.50757,442.92263,571.0,1069.66741,962.0,533.32652,165.80887,218.0,442.16965,467.0,184.70523,440.0,306.16162,0.0,0.0,0.0,0.33131,1.0,1.0,0.93518,0.84367,0.84802,0.8391,46.90549,50.16667,20.95896,311.10186,1209.0,49.75969,56.16667,23.23241,315.67505,1203.0,0.55763,0.35531,0.02747,0.02747,0.14377,Train
14654,291656,140,47,53,Washington,WA,Omak,Disautel,Town,tract,98841,509,48.3176297,-119.2787561,1748055160.0,40569153,2949,1497,1452,598.6515,588.0,271.50241,357.76313,410.0,0.79644,0.73537,0.56997,0.52417,0.43766,0.40204,0.3257,0.25445,492,393,48353.4431,36239.0,47069.78933,767.21791,1061.0,51430.67866,41223.0,42919.65809,537.24297,819.0,912.6782,768.0,464.82741,203.37842,272.0,258.80531,263.0,122.16243,297.0,267.03869,0.0,0.0,0.00527,0.47803,1.0,0.83385,0.80925,0.77348,0.75332,0.79484,37.96998,35.0,24.04709,365.64229,1497.0,37.01391,32.5,23.02586,386.2966,1452.0,0.48822,0.52548,0.04218,0.0123,0.07909,Train
